"","GEOID","county","hhincome","pct_pov","review_count","avg_rating","race.tot","avg_price","pct_white","hhincome_log","review_count_log","pct_pov_log","yelp_n"
"52","13067030334","Cobb County",123966,0.0817051509769094,65,"4",3389,"2",0.809383298908232,11.7278432774672,4.09044047099819,-2.38917672924813,2
"53","13067030336","Cobb County",180536,0.0117236566643405,69,"4",7165,"1",0.884019539427774,12.1037408719324,3.91182296541748,-3.82935344337465,2
"54","13067030337","Cobb County",169188,0.0285526026795519,17.5,"4",4564,"1",0.872480280455741,12.0388249057534,2.8518912373281,-3.25573166686653,2
"55","13067030339","Cobb County",75532,0.0778057214712355,261.5,"4",6362,"1",0.603583778685948,11.2324440719551,5.33242698603661,-2.43262861564375,2
"56","13067030340","Cobb County",160750,0.0125407574617507,13.5,"4",3987,"1",0.947078003511412,11.9876678485631,2.62351203608024,-3.79243016571107,2
"57","13067030342","Cobb County",123281,0.032804692591788,49,"2",4625,"1",0.850162162162162,11.7223026937876,3.91202300542815,-3.15110754240937,1
"58","13067030344","Cobb County",49206,0.106493506493506,44,"4",3850,"2",0.248831168831169,10.8039740528653,3.80666248977032,-2.14991974578298,1
"59","13067030345","Cobb County",71676,0.0971696412475212,54.3333333333333,"3",5602,"1",0.263120314173509,11.1800507495029,3.89292430567093,-2.23334226777127,9
"60","13067030405","Cobb County",49406,0.192214894643719,52,"2",6449,"1",0.55776089316173,10.8080295373757,3.97029191355212,-1.59842431218234,1
"61","13067030408","Cobb County",77577,0.0701940035273369,15,"5",2862,"NaN",0.652690426275332,11.2591551663641,2.77258872223978,-2.52330653589083,1
"62","13067030410","Cobb County",67993,0.0513595166163142,43.6666666666667,"3",4656,"2",0.691151202749141,11.1273071008321,3.47557856543356,-2.79100499978477,3
"63","13067030411","Cobb County",38994,0.257479601087942,97,"3",2206,"1",0.388939256572983,10.571419483955,4.58496747867057,-1.31871197316901,1
"64","13067030412","Cobb County",46094,0.28003104987386,18,"2",5269,"1",0.451698614537863,10.7386549931165,2.94443897916644,-1.23776729320249,1
"65","13067030413","Cobb County",50325,0.266799492845499,31,"4",5554,"2",0.475153042851999,10.8264559391635,3.46573590279973,-1.28446188744587,1
"66","13067030502","Cobb County",96667,0.0920060331825038,2,"3",7314,"NaN",0.72149302707137,11.4791308041332,1.03972077083992,-2.28272331859901,2
"67","13067030601","Cobb County",66991,0.0836870170856459,31.5,"2",9189,"1",0.4564152791381,11.1124628236349,3.192135375612,-2.3677956576554,4
"68","13067030602","Cobb County",92684,0.0635069607383075,125.25,"4",6709,"2",0.826799821135788,11.4370590245401,4.41937983271947,-2.61037517332493,12
"69","13067030800","Cobb County",54205,0.174409937888199,17.5,"2",6135,"1",0.536756316218419,10.9007129019063,2.31248640664214,-1.69059407620879,2
"70","13067030901","Cobb County",78655,0.0921068391424123,40,"2",8349,"1",0.645226973290214,11.2729536086745,3.71357206670431,-2.28173557131041,1
"71","13067030904","Cobb County",43158,0.257072232903049,32.6666666666667,"2",7332,"1",0.332378614293508,10.6728547590075,3.2462043031153,-1.32023612195253,3
"72","13067030905","Cobb County",69261,0.14328405158855,41,"3",8700,"2",0.392413793103448,11.1457816271763,3.73766961828337,-1.87546253251139,1
"73","13067031101","Cobb County",59093,0.238681102362205,11,"4",6146,"NaN",0.424829157175399,10.9870369635272,2.484906649788,-1.39158391673654,1
"74","13067031106","Cobb County",76182,0.046067284022975,77,"3",8628,"2",0.451437181270283,11.2410117492866,4.35670882668959,-2.88120280906069,1
"75","13067031110","Cobb County",66154,0.11965282083075,159,"4",3241,"1",0.656896019746992,11.0998917873621,5.07517381523383,-2.04289500995879,1
"76","13067031111","Cobb County",86115,0.07369826435247,652,"4",3745,"2",0.5543391188251,11.363555008316,6.48157712927643,-2.48053703823134,1
"77","13067031114","Cobb County",56370,0.148315803488217,56.3333333333333,"2",7511,"2",0.323392357875116,10.9398697646681,3.32206020729152,-1.8431634845562,3
"78","13067031115","Cobb County",75123,0.139914163090129,36.5,"2",4690,"1",0.419189765458422,11.2270151553526,3.27838917807902,-1.89769239474696,2
"79","13067031118","Cobb County",84936,0.0823432343234323,46,"2",6169,"1",0.53979575295834,11.34977103947,3.85014760171006,-2.38224283627203,1
"80","13067031205","Cobb County",87910,0.0672434729811779,22,"4",6588,"NaN",0.467668488160291,11.3841825890775,3.13549421592915,-2.56079285892698,1
"81","13067031206","Cobb County",79192,0.076209086468002,53.2857142857143,"3",10395,"1",0.431938431938432,11.2797568300089,3.46114402845421,-2.45097969540615,7
"82","13067031207","Cobb County",78977,0.0434503424657534,24,"3",4714,"2",0.517819261773441,11.2770385609462,3.19846482760807,-2.92900223431452,2
"83","13067031208","Cobb County",73611,0.0642262895174709,3,"3",6010,"NaN",0.446256239600666,11.2066855901062,1.35402510055111,-2.60063688539503,2
"84","13067031211","Cobb County",82330,0.0305580159433127,93.6666666666667,"3",4558,"2",0.502852128126371,11.3186122953239,3.72508950895575,-3.20502183748066,3
"85","13067031212","Cobb County",184000,0.0278969957081545,72.5,"4",2330,"1",0.907296137339056,12.1227453829404,3.99511909286018,-3.27288343894983,2
"86","13067031306","Cobb County",78824,0.0712395235994707,24,"2",4566,"1",0.447218572054314,11.2750996548699,3.2188758248682,-2.51035340640001,1
"87","13067031310","Cobb County",38231,0.251364216881458,3,"5",8613,"NaN",0.199117612910716,10.551663517451,1.38629436111989,-1.34184037743986,1
"88","13067031312","Cobb County",86808,0.0483886300979181,53,"2",10519,"1",0.376461640840384,11.3715692524215,3.982772786565,-2.84063409820668,2
"89","13067031313","Cobb County",117366,0.0206557984438681,16,"4",10815,"NaN",0.385390661118816,11.6731377361761,2.83321334405622,-3.48493345198474,1
"90","13067031405","Cobb County",58530,0.166975651958967,13,"2",8152,"1",0.344700686947988,10.9774655602459,2.49521629338937,-1.73174311542435,2
"91","13067031406","Cobb County",45363,0.213304775103944,36,"2",8309,"1",0.257431700565652,10.7226724934607,3.61091791264422,-1.49921773611055,1
"92","13067031408","Cobb County",57975,0.0406951484431571,159,"4",6956,"1",0.396635997699827,10.9679396353908,5.07517381523383,-2.98192506442019,1
"93","13067031503","Cobb County",65530,0.117927527018436,120,"4",9443,"1",0.40146139997882,11.0904159222528,4.79579054559674,-2.05629137058,1
"94","13067031506","Cobb County",56458,0.143701514591799,49,"2",5414,"1",0.486331732545253,10.9414293850041,3.91202300542815,-1.87274277427795,1
"95","13067031509","Cobb County",81583,0.0969917012448133,2,"5",11568,"NaN",0.349671507607192,11.3094987529588,1.09861228866811,-2.23500400598773,1
